primaryID	secondaryID
CHEBI:15416	CHEBI:12816
CHEBI:15416	CHEBI:23922
CHEBI:15417	CHEBI:29610
CHEBI:15417	CHEBI:132865
CHEBI:15417	CHEBI:12815
CHEBI:15417	CHEBI:24953
CHEBI:15417	CHEBI:23921
CHEBI:15417	CHEBI:10787
CHEBI:15418	CHEBI:23919
CHEBI:15418	CHEBI:12814
CHEBI:15418	CHEBI:10874
CHEBI:15419	CHEBI:29734
CHEBI:15419	CHEBI:10838
CHEBI:15419	CHEBI:12812
CHEBI:15419	CHEBI:23918
CHEBI:15420	CHEBI:18496
CHEBI:15420	CHEBI:8022
CHEBI:15420	CHEBI:14772
CHEBI:15421	CHEBI:14773
CHEBI:15421	CHEBI:8023
CHEBI:15421	CHEBI:25938
CHEBI:15422	CHEBI:40938
CHEBI:15422	CHEBI:10841
CHEBI:15422	CHEBI:10789
CHEBI:15422	CHEBI:2359
CHEBI:15422	CHEBI:13236
CHEBI:15422	CHEBI:22249
CHEBI:15423	CHEBI:14003
CHEBI:15423	CHEBI:3733
CHEBI:15424	CHEBI:12884
CHEBI:15424	CHEBI:14146
CHEBI:15424	CHEBI:4558
CHEBI:15425	CHEBI:14888
CHEBI:15425	CHEBI:44967
CHEBI:15425	CHEBI:8437
CHEBI:15425	CHEBI:12883
CHEBI:15426	CHEBI:14113
CHEBI:15426	CHEBI:10791
CHEBI:15426	CHEBI:44845
CHEBI:15426	CHEBI:4411
CHEBI:15427	CHEBI:7363
CHEBI:15427	CHEBI:13064
CHEBI:15427	CHEBI:21808
CHEBI:15428	CHEBI:14344
CHEBI:15428	CHEBI:42964
CHEBI:15428	CHEBI:5460
CHEBI:15428	CHEBI:10792
CHEBI:15428	CHEBI:24368
CHEBI:15429	CHEBI:43221
CHEBI:15429	CHEBI:5806
CHEBI:15429	CHEBI:14421
CHEBI:15429	CHEBI:10793
CHEBI:15429	CHEBI:24708
CHEBI:15430	CHEBI:14961
CHEBI:15430	CHEBI:14959
CHEBI:15430	CHEBI:14960
CHEBI:15430	CHEBI:26358
CHEBI:15430	CHEBI:8592
CHEBI:15431	CHEBI:6638
CHEBI:15431	CHEBI:13378
CHEBI:15431	CHEBI:14552
CHEBI:15431	CHEBI:14553
CHEBI:15431	CHEBI:25109
CHEBI:15432	CHEBI:14554
CHEBI:15432	CHEBI:10794
CHEBI:15432	CHEBI:14555
CHEBI:15432	CHEBI:25110
CHEBI:15432	CHEBI:6639
CHEBI:15433	CHEBI:29464
CHEBI:15433	CHEBI:10872
CHEBI:15433	CHEBI:11323
CHEBI:15434	CHEBI:11322
CHEBI:15434	CHEBI:10835
CHEBI:15434	CHEBI:29463
CHEBI:15435	CHEBI:14962
CHEBI:15435	CHEBI:26360
CHEBI:15435	CHEBI:8593
CHEBI:15435	CHEBI:26359
CHEBI:15436	CHEBI:9903
CHEBI:15436	CHEBI:15299
CHEBI:15436	CHEBI:27255
CHEBI:15437	CHEBI:15300
CHEBI:15437	CHEBI:27257
CHEBI:15437	CHEBI:9905
CHEBI:15439	CHEBI:14020
CHEBI:15439	CHEBI:41560
CHEBI:15439	CHEBI:3880
CHEBI:15439	CHEBI:23386
CHEBI:15440	CHEBI:10843
CHEBI:15440	CHEBI:9245
CHEBI:15440	CHEBI:10795
CHEBI:15440	CHEBI:15104
CHEBI:15440	CHEBI:26746
CHEBI:15441	CHEBI:18728
CHEBI:15441	CHEBI:11026
CHEBI:15441	CHEBI:11072
CHEBI:15441	CHEBI:372
CHEBI:15442	CHEBI:26261
CHEBI:15442	CHEBI:8401
CHEBI:15442	CHEBI:14886
CHEBI:15444	CHEBI:138
CHEBI:15444	CHEBI:10809
CHEBI:15444	CHEBI:18503
CHEBI:15446	CHEBI:10805
CHEBI:15446	CHEBI:137
CHEBI:15447	CHEBI:10814
CHEBI:15447	CHEBI:18941
CHEBI:15447	CHEBI:547
CHEBI:15448	CHEBI:140
CHEBI:15448	CHEBI:10819
CHEBI:15448	CHEBI:18506
CHEBI:15449	CHEBI:10871
CHEBI:15449	CHEBI:191
CHEBI:15449	CHEBI:18552
CHEBI:15449	CHEBI:18553
CHEBI:15450	CHEBI:10858
CHEBI:15450	CHEBI:182
CHEBI:15450	CHEBI:18542
CHEBI:15451	CHEBI:185
CHEBI:15451	CHEBI:18544
CHEBI:15451	CHEBI:10864
CHEBI:15452	CHEBI:10879
CHEBI:15452	CHEBI:18667
CHEBI:15452	CHEBI:10984
CHEBI:15452	CHEBI:323
CHEBI:15453	CHEBI:39978
CHEBI:15453	CHEBI:394
CHEBI:15453	CHEBI:18749
CHEBI:15453	CHEBI:11048
CHEBI:15454	CHEBI:18565
CHEBI:15454	CHEBI:10886
CHEBI:15454	CHEBI:207
CHEBI:15454	CHEBI:14572
CHEBI:15455	CHEBI:11046
CHEBI:15455	CHEBI:10887
CHEBI:15455	CHEBI:208
CHEBI:15455	CHEBI:18566
CHEBI:15456	CHEBI:195
CHEBI:15456	CHEBI:18559
CHEBI:15456	CHEBI:10982
CHEBI:15457	CHEBI:3726
CHEBI:15457	CHEBI:23320
CHEBI:15457	CHEBI:13998
CHEBI:15457	CHEBI:15458
CHEBI:15459	CHEBI:10891
CHEBI:15459	CHEBI:216
CHEBI:15459	CHEBI:18572
CHEBI:15460	CHEBI:273
CHEBI:15460	CHEBI:10946
CHEBI:15460	CHEBI:18625
CHEBI:15461	CHEBI:11078
CHEBI:15461	CHEBI:449
CHEBI:15461	CHEBI:18810
CHEBI:15463	CHEBI:13995
CHEBI:15463	CHEBI:3712
CHEBI:15464	CHEBI:10958
CHEBI:15464	CHEBI:281
CHEBI:15464	CHEBI:18632
CHEBI:15465	CHEBI:10976
CHEBI:15465	CHEBI:313
CHEBI:15465	CHEBI:18654
CHEBI:15466	CHEBI:11038
CHEBI:15466	CHEBI:43874
CHEBI:15466	CHEBI:384
CHEBI:15466	CHEBI:11068
CHEBI:15466	CHEBI:18742
CHEBI:15467	CHEBI:61659
CHEBI:15467	CHEBI:392
CHEBI:15467	CHEBI:11045
CHEBI:15467	CHEBI:18747
CHEBI:15468	CHEBI:41614
